archivo,dimension,mejor_distancia,optimo,gap_%,tiempo_segundos,n_ants,alpha,beta,ro,iterations
burma14.tsp,14,3413.0,3323.0,2.71,6.955,10,0.5,1.0,0.1,1000
burma14.tsp,14,3404.0,3323.0,2.44,7.187,10,0.5,1.0,0.3,1000
burma14.tsp,14,3336.0,3323.0,0.39,6.84,10,0.5,1.0,0.5,1000
burma14.tsp,14,3323.0,3323.0,0.0,6.981,10,0.5,2.0,0.1,1000
burma14.tsp,14,3323.0,3323.0,0.0,6.668,10,0.5,2.0,0.3,1000
burma14.tsp,14,3323.0,3323.0,0.0,6.726,10,0.5,2.0,0.5,1000
burma14.tsp,14,3323.0,3323.0,0.0,6.967,10,1.0,1.0,0.1,1000
burma14.tsp,14,3323.0,3323.0,0.0,9.002,10,1.0,1.0,0.3,1000
burma14.tsp,14,3336.0,3323.0,0.39,10.902,10,1.0,1.0,0.5,1000
burma14.tsp,14,3323.0,3323.0,0.0,8.414,10,1.0,2.0,0.1,1000
burma14.tsp,14,3323.0,3323.0,0.0,8.85,10,1.0,2.0,0.3,1000
burma14.tsp,14,3336.0,3323.0,0.39,8.867,10,1.0,2.0,0.5,1000
burma14.tsp,14,3359.0,3323.0,1.08,8.887,10,1.5,1.0,0.1,1000
burma14.tsp,14,3381.0,3323.0,1.75,8.653,10,1.5,1.0,0.3,1000
burma14.tsp,14,3404.0,3323.0,2.44,8.9,10,1.5,1.0,0.5,1000
burma14.tsp,14,3336.0,3323.0,0.39,9.016,10,1.5,2.0,0.1,1000
burma14.tsp,14,3371.0,3323.0,1.44,10.831,10,1.5,2.0,0.3,1000
burma14.tsp,14,3381.0,3323.0,1.75,8.838,10,1.5,2.0,0.5,1000
burma14.tsp,14,3323.0,3323.0,0.0,18.053,20,0.5,1.0,0.1,1000
burma14.tsp,14,3381.0,3323.0,1.75,17.825,20,0.5,1.0,0.3,1000
burma14.tsp,14,3386.0,3323.0,1.9,23.048,20,0.5,1.0,0.5,1000
burma14.tsp,14,3336.0,3323.0,0.39,62.439,20,0.5,2.0,0.1,1000
burma14.tsp,14,3323.0,3323.0,0.0,26.243,20,0.5,2.0,0.3,1000
burma14.tsp,14,3323.0,3323.0,0.0,12.546,20,0.5,2.0,0.5,1000
burma14.tsp,14,3323.0,3323.0,0.0,17.175,20,1.0,1.0,0.1,1000
burma14.tsp,14,3323.0,3323.0,0.0,18.302,20,1.0,1.0,0.3,1000
burma14.tsp,14,3323.0,3323.0,0.0,17.459,20,1.0,1.0,0.5,1000
burma14.tsp,14,3323.0,3323.0,0.0,17.219,20,1.0,2.0,0.1,1000
burma14.tsp,14,3323.0,3323.0,0.0,17.491,20,1.0,2.0,0.3,1000
burma14.tsp,14,3323.0,3323.0,0.0,18.04,20,1.0,2.0,0.5,1000
burma14.tsp,14,3323.0,3323.0,0.0,17.332,20,1.5,1.0,0.1,1000
burma14.tsp,14,3323.0,3323.0,0.0,17.425,20,1.5,1.0,0.3,1000
burma14.tsp,14,3404.0,3323.0,2.44,18.862,20,1.5,1.0,0.5,1000
burma14.tsp,14,3323.0,3323.0,0.0,17.746,20,1.5,2.0,0.1,1000
burma14.tsp,14,3323.0,3323.0,0.0,17.228,20,1.5,2.0,0.3,1000
burma14.tsp,14,3323.0,3323.0,0.0,18.266,20,1.5,2.0,0.5,1000
burma14.tsp,14,3346.0,3323.0,0.69,26.082,30,0.5,1.0,0.1,1000
burma14.tsp,14,3323.0,3323.0,0.0,26.304,30,0.5,1.0,0.3,1000
burma14.tsp,14,3394.0,3323.0,2.14,27.068,30,0.5,1.0,0.5,1000
burma14.tsp,14,3323.0,3323.0,0.0,25.885,30,0.5,2.0,0.1,1000
burma14.tsp,14,3336.0,3323.0,0.39,27.13,30,0.5,2.0,0.3,1000
burma14.tsp,14,3323.0,3323.0,0.0,26.738,30,0.5,2.0,0.5,1000
burma14.tsp,14,3323.0,3323.0,0.0,26.613,30,1.0,1.0,0.1,1000
burma14.tsp,14,3323.0,3323.0,0.0,26.387,30,1.0,1.0,0.3,1000
burma14.tsp,14,3323.0,3323.0,0.0,26.674,30,1.0,1.0,0.5,1000
burma14.tsp,14,3323.0,3323.0,0.0,26.505,30,1.0,2.0,0.1,1000
burma14.tsp,14,3323.0,3323.0,0.0,26.369,30,1.0,2.0,0.3,1000
burma14.tsp,14,3323.0,3323.0,0.0,27.765,30,1.0,2.0,0.5,1000
burma14.tsp,14,3323.0,3323.0,0.0,26.457,30,1.5,1.0,0.1,1000
burma14.tsp,14,3336.0,3323.0,0.39,26.535,30,1.5,1.0,0.3,1000
burma14.tsp,14,3501.0,3323.0,5.36,26.127,30,1.5,1.0,0.5,1000
burma14.tsp,14,3323.0,3323.0,0.0,26.216,30,1.5,2.0,0.1,1000
burma14.tsp,14,3323.0,3323.0,0.0,26.42,30,1.5,2.0,0.3,1000
burma14.tsp,14,3323.0,3323.0,0.0,26.501,30,1.5,2.0,0.5,1000
