archivo,dimension,mejor_distancia,optimo,gap_%,tiempo_segundos,n_ants,alpha,beta,ro,iterations
ch150.tsp,150,13270.0,6528.0,103.28,281.322,10,0.5,1.0,0.1,1000
ch150.tsp,150,11825.0,6528.0,81.14,240.974,10,0.5,1.0,0.3,1000
ch150.tsp,150,12008.0,6528.0,83.95,244.706,10,0.5,1.0,0.5,1000
ch150.tsp,150,9069.0,6528.0,38.92,243.272,10,0.5,2.0,0.1,1000
ch150.tsp,150,8836.0,6528.0,35.36,213.908,10,0.5,2.0,0.3,1000
ch150.tsp,150,8702.0,6528.0,33.3,193.278,10,0.5,2.0,0.5,1000
ch150.tsp,150,7171.0,6528.0,9.85,191.136,10,1.0,1.0,0.1,1000
ch150.tsp,150,7489.0,6528.0,14.72,171.035,10,1.0,1.0,0.3,1000
ch150.tsp,150,7875.0,6528.0,20.63,174.811,10,1.0,1.0,0.5,1000
ch150.tsp,150,6908.0,6528.0,5.82,169.787,10,1.0,2.0,0.1,1000
ch150.tsp,150,7290.0,6528.0,11.67,169.925,10,1.0,2.0,0.3,1000
ch150.tsp,150,7450.0,6528.0,14.12,169.706,10,1.0,2.0,0.5,1000
ch150.tsp,150,7498.0,6528.0,14.86,172.615,10,1.5,1.0,0.1,1000
ch150.tsp,150,8688.0,6528.0,33.09,172.993,10,1.5,1.0,0.3,1000
ch150.tsp,150,9062.0,6528.0,38.82,184.479,10,1.5,1.0,0.5,1000
ch150.tsp,150,7208.0,6528.0,10.42,171.806,10,1.5,2.0,0.1,1000
ch150.tsp,150,8278.0,6528.0,26.81,170.971,10,1.5,2.0,0.3,1000
ch150.tsp,150,8034.0,6528.0,23.07,187.768,10,1.5,2.0,0.5,1000
ch150.tsp,150,13679.0,6528.0,109.54,347.53,20,0.5,1.0,0.1,1000
ch150.tsp,150,12035.0,6528.0,84.36,338.215,20,0.5,1.0,0.3,1000
ch150.tsp,150,12043.0,6528.0,84.48,298.715,20,0.5,1.0,0.5,1000
ch150.tsp,150,9151.0,6528.0,40.18,300.628,20,0.5,2.0,0.1,1000
ch150.tsp,150,8777.0,6528.0,34.45,301.269,20,0.5,2.0,0.3,1000
ch150.tsp,150,8450.0,6528.0,29.44,360.165,20,0.5,2.0,0.5,1000
ch150.tsp,150,7698.0,6528.0,17.92,316.016,20,1.0,1.0,0.1,1000
ch150.tsp,150,6778.0,6528.0,3.83,274.068,20,1.0,1.0,0.3,1000
ch150.tsp,150,7077.0,6528.0,8.41,261.962,20,1.0,1.0,0.5,1000
ch150.tsp,150,6743.0,6528.0,3.29,283.267,20,1.0,2.0,0.1,1000
ch150.tsp,150,7140.0,6528.0,9.38,264.472,20,1.0,2.0,0.3,1000
ch150.tsp,150,7196.0,6528.0,10.23,261.961,20,1.0,2.0,0.5,1000
ch150.tsp,150,7877.0,6528.0,20.66,254.858,20,1.5,1.0,0.1,1000
ch150.tsp,150,8444.0,6528.0,29.35,252.13,20,1.5,1.0,0.3,1000
ch150.tsp,150,8296.0,6528.0,27.08,262.659,20,1.5,1.0,0.5,1000
ch150.tsp,150,7032.0,6528.0,7.72,244.426,20,1.5,2.0,0.1,1000
ch150.tsp,150,7528.0,6528.0,15.32,242.547,20,1.5,2.0,0.3,1000
ch150.tsp,150,7317.0,6528.0,12.09,263.566,20,1.5,2.0,0.5,1000
ch150.tsp,150,14648.0,6528.0,124.39,346.835,30,0.5,1.0,0.1,1000
ch150.tsp,150,13219.0,6528.0,102.5,319.327,30,0.5,1.0,0.3,1000
ch150.tsp,150,12458.0,6528.0,90.84,318.193,30,0.5,1.0,0.5,1000
ch150.tsp,150,9113.0,6528.0,39.6,318.611,30,0.5,2.0,0.1,1000
ch150.tsp,150,8827.0,6528.0,35.22,336.555,30,0.5,2.0,0.3,1000
ch150.tsp,150,8658.0,6528.0,32.63,383.966,30,0.5,2.0,0.5,1000
ch150.tsp,150,6821.0,6528.0,4.49,381.987,30,1.0,1.0,0.1,1000
ch150.tsp,150,7235.0,6528.0,10.83,385.595,30,1.0,1.0,0.3,1000
ch150.tsp,150,7076.0,6528.0,8.39,383.023,30,1.0,1.0,0.5,1000
ch150.tsp,150,6834.0,6528.0,4.69,381.982,30,1.0,2.0,0.1,1000
ch150.tsp,150,6861.0,6528.0,5.1,381.924,30,1.0,2.0,0.3,1000
ch150.tsp,150,6751.0,6528.0,3.42,382.31,30,1.0,2.0,0.5,1000
ch150.tsp,150,7371.0,6528.0,12.91,382.241,30,1.5,1.0,0.1,1000
ch150.tsp,150,8199.0,6528.0,25.6,383.265,30,1.5,1.0,0.3,1000
ch150.tsp,150,8440.0,6528.0,29.29,397.344,30,1.5,1.0,0.5,1000
ch150.tsp,150,6994.0,6528.0,7.14,316.156,30,1.5,2.0,0.1,1000
ch150.tsp,150,7227.0,6528.0,10.71,334.753,30,1.5,2.0,0.3,1000
ch150.tsp,150,7425.0,6528.0,13.74,347.358,30,1.5,2.0,0.5,1000
