archivo,dimension,mejor_distancia,optimo,gap_%,tiempo_segundos,n_ants,alpha,beta,ro,iterations
pr439.tsp,439,238367.0,107217.0,122.32,1563.149,10,0.5,1.0,0.1,1000
pr439.tsp,439,233541.0,107217.0,117.82,1168.956,10,0.5,1.0,0.3,1000
pr439.tsp,439,251000.0,107217.0,134.1,1167.378,10,0.5,1.0,0.5,1000
pr439.tsp,439,164330.0,107217.0,53.27,1055.117,10,0.5,2.0,0.1,1000
pr439.tsp,439,168806.0,107217.0,57.44,1080.166,10,0.5,2.0,0.3,1000
pr439.tsp,439,166713.0,107217.0,55.49,927.735,10,0.5,2.0,0.5,1000
pr439.tsp,439,145471.0,107217.0,35.68,869.326,10,1.0,1.0,0.1,1000
pr439.tsp,439,148648.0,107217.0,38.64,841.151,10,1.0,1.0,0.3,1000
pr439.tsp,439,149744.0,107217.0,39.66,762.658,10,1.0,1.0,0.5,1000
pr439.tsp,439,124708.0,107217.0,16.31,742.657,10,1.0,2.0,0.1,1000
pr439.tsp,439,129534.0,107217.0,20.81,867.563,10,1.0,2.0,0.3,1000
pr439.tsp,439,128419.0,107217.0,19.77,887.102,10,1.0,2.0,0.5,1000
pr439.tsp,439,148835.0,107217.0,38.82,879.212,10,1.5,1.0,0.1,1000
pr439.tsp,439,159804.0,107217.0,49.05,879.748,10,1.5,1.0,0.3,1000
pr439.tsp,439,181506.0,107217.0,69.29,865.819,10,1.5,1.0,0.5,1000
pr439.tsp,439,129961.0,107217.0,21.21,742.871,10,1.5,2.0,0.1,1000
pr439.tsp,439,137811.0,107217.0,28.53,683.093,10,1.5,2.0,0.3,1000
pr439.tsp,439,139016.0,107217.0,29.66,753.477,10,1.5,2.0,0.5,1000
pr439.tsp,439,254136.0,107217.0,137.03,1359.369,20,0.5,1.0,0.1,1000
pr439.tsp,439,232531.0,107217.0,116.88,1359.04,20,0.5,1.0,0.3,1000
pr439.tsp,439,238074.0,107217.0,122.05,1721.89,20,0.5,1.0,0.5,1000
pr439.tsp,439,164380.0,107217.0,53.32,1522.547,20,0.5,2.0,0.1,1000
pr439.tsp,439,163154.0,107217.0,52.17,1401.552,20,0.5,2.0,0.3,1000
pr439.tsp,439,167428.0,107217.0,56.16,1401.671,20,0.5,2.0,0.5,1000
pr439.tsp,439,140539.0,107217.0,31.08,1427.972,20,1.0,1.0,0.1,1000
pr439.tsp,439,140980.0,107217.0,31.49,1497.744,20,1.0,1.0,0.3,1000
pr439.tsp,439,132749.0,107217.0,23.81,1515.233,20,1.0,1.0,0.5,1000
pr439.tsp,439,119304.0,107217.0,11.27,1494.834,20,1.0,2.0,0.1,1000
pr439.tsp,439,121508.0,107217.0,13.33,1498.966,20,1.0,2.0,0.3,1000
pr439.tsp,439,126815.0,107217.0,18.28,1519.96,20,1.0,2.0,0.5,1000
pr439.tsp,439,137539.0,107217.0,28.28,1511.245,20,1.5,1.0,0.1,1000
pr439.tsp,439,145726.0,107217.0,35.92,1502.425,20,1.5,1.0,0.3,1000
pr439.tsp,439,158514.0,107217.0,47.84,1724.246,20,1.5,1.0,0.5,1000
pr439.tsp,439,128454.0,107217.0,19.81,1638.351,20,1.5,2.0,0.1,1000
pr439.tsp,439,135729.0,107217.0,26.59,1628.194,20,1.5,2.0,0.3,1000
pr439.tsp,439,134926.0,107217.0,25.84,1808.285,20,1.5,2.0,0.5,1000
pr439.tsp,439,265758.0,107217.0,147.87,2432.275,30,0.5,1.0,0.1,1000
pr439.tsp,439,238307.0,107217.0,122.27,2448.947,30,0.5,1.0,0.3,1000
pr439.tsp,439,234332.0,107217.0,118.56,3147.223,30,0.5,1.0,0.5,1000
pr439.tsp,439,168059.0,107217.0,56.75,3984.488,30,0.5,2.0,0.1,1000
pr439.tsp,439,161372.0,107217.0,50.51,2280.259,30,0.5,2.0,0.3,1000
pr439.tsp,439,162486.0,107217.0,51.55,2278.787,30,0.5,2.0,0.5,1000
pr439.tsp,439,130844.0,107217.0,22.04,2284.139,30,1.0,1.0,0.1,1000
pr439.tsp,439,128940.0,107217.0,20.26,2277.328,30,1.0,1.0,0.3,1000
pr439.tsp,439,120696.0,107217.0,12.57,2298.624,30,1.0,1.0,0.5,1000
pr439.tsp,439,122818.0,107217.0,14.55,2279.968,30,1.0,2.0,0.1,1000
pr439.tsp,439,123376.0,107217.0,15.07,2254.609,30,1.0,2.0,0.3,1000
pr439.tsp,439,125292.0,107217.0,16.86,2288.161,30,1.0,2.0,0.5,1000
pr439.tsp,439,136477.0,107217.0,27.29,2281.226,30,1.5,1.0,0.1,1000
pr439.tsp,439,148663.0,107217.0,38.66,2300.958,30,1.5,1.0,0.3,1000
pr439.tsp,439,158098.0,107217.0,47.46,2516.378,30,1.5,1.0,0.5,1000
pr439.tsp,439,125190.0,107217.0,16.76,2285.37,30,1.5,2.0,0.1,1000
pr439.tsp,439,132304.0,107217.0,23.4,3099.586,30,1.5,2.0,0.3,1000
pr439.tsp,439,134139.0,107217.0,25.11,5380.019,30,1.5,2.0,0.5,1000
