archivo,dimension,mejor_distancia,optimo,gap_%,tiempo_segundos,n_ants,alpha,beta,ro,iterations
tsp225.tsp,225,8015.0,3916.0,104.67,517.225,10,0.5,1.0,0.1,1000
tsp225.tsp,225,7760.0,3916.0,98.16,486.981,10,0.5,1.0,0.3,1000
tsp225.tsp,225,7912.0,3916.0,102.04,408.567,10,0.5,1.0,0.5,1000
tsp225.tsp,225,5664.0,3916.0,44.64,365.179,10,0.5,2.0,0.1,1000
tsp225.tsp,225,5752.0,3916.0,46.88,343.916,10,0.5,2.0,0.3,1000
tsp225.tsp,225,5733.0,3916.0,46.4,336.935,10,0.5,2.0,0.5,1000
tsp225.tsp,225,4747.0,3916.0,21.22,346.329,10,1.0,1.0,0.1,1000
tsp225.tsp,225,4586.0,3916.0,17.11,344.166,10,1.0,1.0,0.3,1000
tsp225.tsp,225,5084.0,3916.0,29.83,342.154,10,1.0,1.0,0.5,1000
tsp225.tsp,225,4500.0,3916.0,14.91,345.267,10,1.0,2.0,0.1,1000
tsp225.tsp,225,4513.0,3916.0,15.25,341.445,10,1.0,2.0,0.3,1000
tsp225.tsp,225,4542.0,3916.0,15.99,296.319,10,1.0,2.0,0.5,1000
tsp225.tsp,225,5238.0,3916.0,33.76,304.154,10,1.5,1.0,0.1,1000
tsp225.tsp,225,5528.0,3916.0,41.16,302.066,10,1.5,1.0,0.3,1000
tsp225.tsp,225,6134.0,3916.0,56.64,384.893,10,1.5,1.0,0.5,1000
tsp225.tsp,225,4788.0,3916.0,22.27,316.049,10,1.5,2.0,0.1,1000
tsp225.tsp,225,4914.0,3916.0,25.49,275.766,10,1.5,2.0,0.3,1000
tsp225.tsp,225,5245.0,3916.0,33.94,290.348,10,1.5,2.0,0.5,1000
tsp225.tsp,225,8890.0,3916.0,127.02,545.24,20,0.5,1.0,0.1,1000
tsp225.tsp,225,7748.0,3916.0,97.85,515.786,20,0.5,1.0,0.3,1000
tsp225.tsp,225,7705.0,3916.0,96.76,497.47,20,0.5,1.0,0.5,1000
tsp225.tsp,225,5787.0,3916.0,47.78,489.203,20,0.5,2.0,0.1,1000
tsp225.tsp,225,5687.0,3916.0,45.22,486.346,20,0.5,2.0,0.3,1000
tsp225.tsp,225,5779.0,3916.0,47.57,428.44,20,0.5,2.0,0.5,1000
tsp225.tsp,225,4602.0,3916.0,17.52,425.702,20,1.0,1.0,0.1,1000
tsp225.tsp,225,4448.0,3916.0,13.59,437.539,20,1.0,1.0,0.3,1000
tsp225.tsp,225,4580.0,3916.0,16.96,501.264,20,1.0,1.0,0.5,1000
tsp225.tsp,225,4327.0,3916.0,10.5,511.379,20,1.0,2.0,0.1,1000
tsp225.tsp,225,4247.0,3916.0,8.45,517.424,20,1.0,2.0,0.3,1000
tsp225.tsp,225,4579.0,3916.0,16.93,514.544,20,1.0,2.0,0.5,1000
tsp225.tsp,225,4729.0,3916.0,20.76,511.061,20,1.5,1.0,0.1,1000
tsp225.tsp,225,4950.0,3916.0,26.4,512.006,20,1.5,1.0,0.3,1000
tsp225.tsp,225,5508.0,3916.0,40.65,562.418,20,1.5,1.0,0.5,1000
tsp225.tsp,225,4759.0,3916.0,21.53,464.052,20,1.5,2.0,0.1,1000
tsp225.tsp,225,4675.0,3916.0,19.38,426.724,20,1.5,2.0,0.3,1000
tsp225.tsp,225,4902.0,3916.0,25.18,480.891,20,1.5,2.0,0.5,1000
tsp225.tsp,225,9381.0,3916.0,139.56,600.886,30,0.5,1.0,0.1,1000
tsp225.tsp,225,7953.0,3916.0,103.09,592.677,30,0.5,1.0,0.3,1000
tsp225.tsp,225,7651.0,3916.0,95.38,590.452,30,0.5,1.0,0.5,1000
tsp225.tsp,225,5863.0,3916.0,49.72,590.923,30,0.5,2.0,0.1,1000
tsp225.tsp,225,5550.0,3916.0,41.73,591.256,30,0.5,2.0,0.3,1000
tsp225.tsp,225,5633.0,3916.0,43.85,590.075,30,0.5,2.0,0.5,1000
tsp225.tsp,225,4605.0,3916.0,17.59,590.114,30,1.0,1.0,0.1,1000
tsp225.tsp,225,4471.0,3916.0,14.17,601.085,30,1.0,1.0,0.3,1000
tsp225.tsp,225,4430.0,3916.0,13.13,846.193,30,1.0,1.0,0.5,1000
tsp225.tsp,225,4356.0,3916.0,11.24,777.158,30,1.0,2.0,0.1,1000
tsp225.tsp,225,4519.0,3916.0,15.4,653.679,30,1.0,2.0,0.3,1000
tsp225.tsp,225,4492.0,3916.0,14.71,609.905,30,1.0,2.0,0.5,1000
tsp225.tsp,225,4674.0,3916.0,19.36,608.13,30,1.5,1.0,0.1,1000
tsp225.tsp,225,5177.0,3916.0,32.2,611.599,30,1.5,1.0,0.3,1000
tsp225.tsp,225,5250.0,3916.0,34.07,664.843,30,1.5,1.0,0.5,1000
tsp225.tsp,225,4369.0,3916.0,11.57,609.024,30,1.5,2.0,0.1,1000
tsp225.tsp,225,4693.0,3916.0,19.84,610.794,30,1.5,2.0,0.3,1000
tsp225.tsp,225,4621.0,3916.0,18.0,669.226,30,1.5,2.0,0.5,1000
