archivo,dimension,mejor_distancia,optimo,gap_%,tiempo_segundos,n_ants,alpha,beta,ro,iterations
ulysses16.tsp,16,7093.0,6859.0,3.41,8.168,10,0.5,1.0,0.1,1000
ulysses16.tsp,16,6983.0,6859.0,1.81,8.702,10,0.5,1.0,0.3,1000
ulysses16.tsp,16,6950.0,6859.0,1.33,8.102,10,0.5,1.0,0.5,1000
ulysses16.tsp,16,6909.0,6859.0,0.73,8.187,10,0.5,2.0,0.1,1000
ulysses16.tsp,16,6909.0,6859.0,0.73,8.318,10,0.5,2.0,0.3,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,8.174,10,0.5,2.0,0.5,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,11.214,10,1.0,1.0,0.1,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,11.869,10,1.0,1.0,0.3,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,10.222,10,1.0,1.0,0.5,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,10.548,10,1.0,2.0,0.1,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,10.31,10,1.0,2.0,0.3,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,10.423,10,1.0,2.0,0.5,1000
ulysses16.tsp,16,6898.0,6859.0,0.57,10.652,10,1.5,1.0,0.1,1000
ulysses16.tsp,16,6911.0,6859.0,0.76,12.132,10,1.5,1.0,0.3,1000
ulysses16.tsp,16,6990.0,6859.0,1.91,10.633,10,1.5,1.0,0.5,1000
ulysses16.tsp,16,6915.0,6859.0,0.82,10.637,10,1.5,2.0,0.1,1000
ulysses16.tsp,16,6909.0,6859.0,0.73,10.417,10,1.5,2.0,0.3,1000
ulysses16.tsp,16,6878.0,6859.0,0.28,10.601,10,1.5,2.0,0.5,1000
ulysses16.tsp,16,7034.0,6859.0,2.55,22.138,20,0.5,1.0,0.1,1000
ulysses16.tsp,16,6909.0,6859.0,0.73,69.976,20,0.5,1.0,0.3,1000
ulysses16.tsp,16,7052.0,6859.0,2.81,28.037,20,0.5,1.0,0.5,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,16.36,20,0.5,2.0,0.1,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,21.637,20,0.5,2.0,0.3,1000
ulysses16.tsp,16,6909.0,6859.0,0.73,20.623,20,0.5,2.0,0.5,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,20.659,20,1.0,1.0,0.1,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,21.065,20,1.0,1.0,0.3,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,20.594,20,1.0,1.0,0.5,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,20.495,20,1.0,2.0,0.1,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,21.054,20,1.0,2.0,0.3,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,22.378,20,1.0,2.0,0.5,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,20.458,20,1.5,1.0,0.1,1000
ulysses16.tsp,16,6909.0,6859.0,0.73,20.64,20,1.5,1.0,0.3,1000
ulysses16.tsp,16,7005.0,6859.0,2.13,20.625,20,1.5,1.0,0.5,1000
ulysses16.tsp,16,6903.0,6859.0,0.64,20.464,20,1.5,2.0,0.1,1000
ulysses16.tsp,16,6939.0,6859.0,1.17,20.701,20,1.5,2.0,0.3,1000
ulysses16.tsp,16,6939.0,6859.0,1.17,20.909,20,1.5,2.0,0.5,1000
ulysses16.tsp,16,6944.0,6859.0,1.24,31.144,30,0.5,1.0,0.1,1000
ulysses16.tsp,16,6930.0,6859.0,1.04,31.875,30,0.5,1.0,0.3,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,31.19,30,0.5,1.0,0.5,1000
ulysses16.tsp,16,6865.0,6859.0,0.09,31.33,30,0.5,2.0,0.1,1000
ulysses16.tsp,16,6865.0,6859.0,0.09,30.787,30,0.5,2.0,0.3,1000
ulysses16.tsp,16,6889.0,6859.0,0.44,31.02,30,0.5,2.0,0.5,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,31.45,30,1.0,1.0,0.1,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,32.321,30,1.0,1.0,0.3,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,31.053,30,1.0,1.0,0.5,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,30.945,30,1.0,2.0,0.1,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,30.84,30,1.0,2.0,0.3,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,30.83,30,1.0,2.0,0.5,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,29.693,30,1.5,1.0,0.1,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,28.735,30,1.5,1.0,0.3,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,28.447,30,1.5,1.0,0.5,1000
ulysses16.tsp,16,6898.0,6859.0,0.57,27.83,30,1.5,2.0,0.1,1000
ulysses16.tsp,16,6859.0,6859.0,0.0,27.767,30,1.5,2.0,0.3,1000
ulysses16.tsp,16,6909.0,6859.0,0.73,27.849,30,1.5,2.0,0.5,1000
