archivo,dimension,mejor_distancia,optimo,gap_%,tiempo_segundos,n_ants,alpha,beta,ro,iterations
berlin52.tsp,52,11101.0,7542.0,47.19,37.877,10,0.5,1.0,0.1,1000
berlin52.tsp,52,10853.0,7542.0,43.9,46.692,10,0.5,1.0,0.3,1000
berlin52.tsp,52,9920.0,7542.0,31.53,48.578,10,0.5,1.0,0.5,1000
berlin52.tsp,52,8625.0,7542.0,14.36,49.822,10,0.5,2.0,0.1,1000
berlin52.tsp,52,8702.0,7542.0,15.38,105.832,10,0.5,2.0,0.3,1000
berlin52.tsp,52,8163.0,7542.0,8.23,40.259,10,0.5,2.0,0.5,1000
berlin52.tsp,52,8283.0,7542.0,9.82,48.25,10,1.0,1.0,0.1,1000
berlin52.tsp,52,8134.0,7542.0,7.85,48.462,10,1.0,1.0,0.3,1000
berlin52.tsp,52,8363.0,7542.0,10.89,49.127,10,1.0,1.0,0.5,1000
berlin52.tsp,52,7676.0,7542.0,1.78,48.332,10,1.0,2.0,0.1,1000
berlin52.tsp,52,8041.0,7542.0,6.62,47.995,10,1.0,2.0,0.3,1000
berlin52.tsp,52,8222.0,7542.0,9.02,48.558,10,1.0,2.0,0.5,1000
berlin52.tsp,52,8780.0,7542.0,16.41,49.128,10,1.5,1.0,0.1,1000
berlin52.tsp,52,8684.0,7542.0,15.14,48.445,10,1.5,1.0,0.3,1000
berlin52.tsp,52,9619.0,7542.0,27.54,49.796,10,1.5,1.0,0.5,1000
berlin52.tsp,52,8072.0,7542.0,7.03,48.056,10,1.5,2.0,0.1,1000
berlin52.tsp,52,8251.0,7542.0,9.4,49.417,10,1.5,2.0,0.3,1000
berlin52.tsp,52,8619.0,7542.0,14.28,49.452,10,1.5,2.0,0.5,1000
berlin52.tsp,52,11799.0,7542.0,56.44,95.809,20,0.5,1.0,0.1,1000
berlin52.tsp,52,11137.0,7542.0,47.67,88.891,20,0.5,1.0,0.3,1000
berlin52.tsp,52,10550.0,7542.0,39.88,83.491,20,0.5,1.0,0.5,1000
berlin52.tsp,52,9205.0,7542.0,22.05,76.983,20,0.5,2.0,0.1,1000
berlin52.tsp,52,8387.0,7542.0,11.2,76.287,20,0.5,2.0,0.3,1000
berlin52.tsp,52,8711.0,7542.0,15.5,77.527,20,0.5,2.0,0.5,1000
berlin52.tsp,52,8236.0,7542.0,9.2,77.489,20,1.0,1.0,0.1,1000
berlin52.tsp,52,8121.0,7542.0,7.68,76.845,20,1.0,1.0,0.3,1000
berlin52.tsp,52,8249.0,7542.0,9.37,68.991,20,1.0,1.0,0.5,1000
berlin52.tsp,52,7547.0,7542.0,0.07,67.733,20,1.0,2.0,0.1,1000
berlin52.tsp,52,7553.0,7542.0,0.15,67.467,20,1.0,2.0,0.3,1000
berlin52.tsp,52,8285.0,7542.0,9.85,67.76,20,1.0,2.0,0.5,1000
berlin52.tsp,52,8269.0,7542.0,9.64,65.86,20,1.5,1.0,0.1,1000
berlin52.tsp,52,8819.0,7542.0,16.93,67.617,20,1.5,1.0,0.3,1000
berlin52.tsp,52,8234.0,7542.0,9.18,68.269,20,1.5,1.0,0.5,1000
berlin52.tsp,52,8216.0,7542.0,8.94,66.27,20,1.5,2.0,0.1,1000
berlin52.tsp,52,8433.0,7542.0,11.81,67.5,20,1.5,2.0,0.3,1000
berlin52.tsp,52,8174.0,7542.0,8.38,69.458,20,1.5,2.0,0.5,1000
berlin52.tsp,52,11889.0,7542.0,57.64,99.209,30,0.5,1.0,0.1,1000
berlin52.tsp,52,11571.0,7542.0,53.42,99.486,30,0.5,1.0,0.3,1000
berlin52.tsp,52,10329.0,7542.0,36.95,100.048,30,0.5,1.0,0.5,1000
berlin52.tsp,52,9057.0,7542.0,20.09,104.267,30,0.5,2.0,0.1,1000
berlin52.tsp,52,8919.0,7542.0,18.26,102.002,30,0.5,2.0,0.3,1000
berlin52.tsp,52,8639.0,7542.0,14.55,102.948,30,0.5,2.0,0.5,1000
berlin52.tsp,52,8346.0,7542.0,10.66,100.501,30,1.0,1.0,0.1,1000
berlin52.tsp,52,8077.0,7542.0,7.09,99.33,30,1.0,1.0,0.3,1000
berlin52.tsp,52,7942.0,7542.0,5.3,99.748,30,1.0,1.0,0.5,1000
berlin52.tsp,52,7615.0,7542.0,0.97,100.46,30,1.0,2.0,0.1,1000
berlin52.tsp,52,7730.0,7542.0,2.49,100.653,30,1.0,2.0,0.3,1000
berlin52.tsp,52,7679.0,7542.0,1.82,103.081,30,1.0,2.0,0.5,1000
berlin52.tsp,52,7974.0,7542.0,5.73,101.932,30,1.5,1.0,0.1,1000
berlin52.tsp,52,8402.0,7542.0,11.4,101.516,30,1.5,1.0,0.3,1000
berlin52.tsp,52,8658.0,7542.0,14.8,105.988,30,1.5,1.0,0.5,1000
berlin52.tsp,52,8027.0,7542.0,6.43,100.426,30,1.5,2.0,0.1,1000
berlin52.tsp,52,8058.0,7542.0,6.84,102.49,30,1.5,2.0,0.3,1000
berlin52.tsp,52,8260.0,7542.0,9.52,114.968,30,1.5,2.0,0.5,1000
