archivo,dimension,mejor_distancia,optimo,gap_%,tiempo_segundos,n_ants,alpha,beta,ro,iterations
kroA100.tsp,100,39940.0,21282.0,87.67,115.858,10,0.5,1.0,0.1,1000
kroA100.tsp,100,32828.0,21282.0,54.25,180.104,10,0.5,1.0,0.3,1000
kroA100.tsp,100,35697.0,21282.0,67.73,121.812,10,0.5,1.0,0.5,1000
kroA100.tsp,100,26714.0,21282.0,25.52,128.073,10,0.5,2.0,0.1,1000
kroA100.tsp,100,26731.0,21282.0,25.6,127.708,10,0.5,2.0,0.3,1000
kroA100.tsp,100,26941.0,21282.0,26.59,127.513,10,0.5,2.0,0.5,1000
kroA100.tsp,100,26118.0,21282.0,22.72,127.931,10,1.0,1.0,0.1,1000
kroA100.tsp,100,22594.0,21282.0,6.16,122.31,10,1.0,1.0,0.3,1000
kroA100.tsp,100,25367.0,21282.0,19.19,114.453,10,1.0,1.0,0.5,1000
kroA100.tsp,100,24775.0,21282.0,16.41,101.441,10,1.0,2.0,0.1,1000
kroA100.tsp,100,24403.0,21282.0,14.66,100.872,10,1.0,2.0,0.3,1000
kroA100.tsp,100,24167.0,21282.0,13.56,102.115,10,1.0,2.0,0.5,1000
kroA100.tsp,100,26472.0,21282.0,24.39,101.215,10,1.5,1.0,0.1,1000
kroA100.tsp,100,26599.0,21282.0,24.98,89.674,10,1.5,1.0,0.3,1000
kroA100.tsp,100,30321.0,21282.0,42.47,95.901,10,1.5,1.0,0.5,1000
kroA100.tsp,100,24136.0,21282.0,13.41,90.852,10,1.5,2.0,0.1,1000
kroA100.tsp,100,23333.0,21282.0,9.64,88.725,10,1.5,2.0,0.3,1000
kroA100.tsp,100,25942.0,21282.0,21.9,92.542,10,1.5,2.0,0.5,1000
kroA100.tsp,100,39814.0,21282.0,87.08,175.216,20,0.5,1.0,0.1,1000
kroA100.tsp,100,37443.0,21282.0,75.94,174.826,20,0.5,1.0,0.3,1000
kroA100.tsp,100,34668.0,21282.0,62.9,176.246,20,0.5,1.0,0.5,1000
kroA100.tsp,100,28264.0,21282.0,32.81,179.921,20,0.5,2.0,0.1,1000
kroA100.tsp,100,27650.0,21282.0,29.92,178.36,20,0.5,2.0,0.3,1000
kroA100.tsp,100,25564.0,21282.0,20.12,177.757,20,0.5,2.0,0.5,1000
kroA100.tsp,100,23182.0,21282.0,8.93,178.015,20,1.0,1.0,0.1,1000
kroA100.tsp,100,23208.0,21282.0,9.05,177.839,20,1.0,1.0,0.3,1000
kroA100.tsp,100,24513.0,21282.0,15.18,177.782,20,1.0,1.0,0.5,1000
kroA100.tsp,100,22902.0,21282.0,7.61,179.502,20,1.0,2.0,0.1,1000
kroA100.tsp,100,22934.0,21282.0,7.76,177.656,20,1.0,2.0,0.3,1000
kroA100.tsp,100,23433.0,21282.0,10.11,178.663,20,1.0,2.0,0.5,1000
kroA100.tsp,100,25977.0,21282.0,22.06,148.607,20,1.5,1.0,0.1,1000
kroA100.tsp,100,27295.0,21282.0,28.25,154.303,20,1.5,1.0,0.3,1000
kroA100.tsp,100,27409.0,21282.0,28.79,166.479,20,1.5,1.0,0.5,1000
kroA100.tsp,100,23745.0,21282.0,11.57,156.202,20,1.5,2.0,0.1,1000
kroA100.tsp,100,25035.0,21282.0,17.63,155.229,20,1.5,2.0,0.3,1000
kroA100.tsp,100,25455.0,21282.0,19.61,165.879,20,1.5,2.0,0.5,1000
kroA100.tsp,100,41321.0,21282.0,94.16,291.022,30,0.5,1.0,0.1,1000
kroA100.tsp,100,39359.0,21282.0,84.94,248.956,30,0.5,1.0,0.3,1000
kroA100.tsp,100,35420.0,21282.0,66.43,238.093,30,0.5,1.0,0.5,1000
kroA100.tsp,100,28599.0,21282.0,34.38,205.146,30,0.5,2.0,0.1,1000
kroA100.tsp,100,26657.0,21282.0,25.26,197.824,30,0.5,2.0,0.3,1000
kroA100.tsp,100,26279.0,21282.0,23.48,219.353,30,0.5,2.0,0.5,1000
kroA100.tsp,100,23297.0,21282.0,9.47,208.54,30,1.0,1.0,0.1,1000
kroA100.tsp,100,23257.0,21282.0,9.28,205.664,30,1.0,1.0,0.3,1000
kroA100.tsp,100,23655.0,21282.0,11.15,202.364,30,1.0,1.0,0.5,1000
kroA100.tsp,100,22643.0,21282.0,6.4,199.93,30,1.0,2.0,0.1,1000
kroA100.tsp,100,22675.0,21282.0,6.55,191.53,30,1.0,2.0,0.3,1000
kroA100.tsp,100,23416.0,21282.0,10.03,193.894,30,1.0,2.0,0.5,1000
kroA100.tsp,100,24826.0,21282.0,16.65,188.92,30,1.5,1.0,0.1,1000
kroA100.tsp,100,24498.0,21282.0,15.11,188.01,30,1.5,1.0,0.3,1000
kroA100.tsp,100,27901.0,21282.0,31.1,201.08,30,1.5,1.0,0.5,1000
kroA100.tsp,100,23557.0,21282.0,10.69,189.511,30,1.5,2.0,0.1,1000
kroA100.tsp,100,23364.0,21282.0,9.78,187.412,30,1.5,2.0,0.3,1000
kroA100.tsp,100,24108.0,21282.0,13.28,200.601,30,1.5,2.0,0.5,1000
