archivo,dimension,mejor_distancia,optimo,gap_%,tiempo_segundos,n_ants,alpha,beta,ro,iterations
st70.tsp,70,1133.0,675.0,67.85,60.867,10,0.5,1.0,0.1,1000
st70.tsp,70,989.0,675.0,46.52,77.97,10,0.5,1.0,0.3,1000
st70.tsp,70,1020.0,675.0,51.11,95.934,10,0.5,1.0,0.5,1000
st70.tsp,70,789.0,675.0,16.89,100.753,10,0.5,2.0,0.1,1000
st70.tsp,70,814.0,675.0,20.59,73.831,10,0.5,2.0,0.3,1000
st70.tsp,70,799.0,675.0,18.37,74.909,10,0.5,2.0,0.5,1000
st70.tsp,70,751.0,675.0,11.26,73.42,10,1.0,1.0,0.1,1000
st70.tsp,70,773.0,675.0,14.52,74.566,10,1.0,1.0,0.3,1000
st70.tsp,70,789.0,675.0,16.89,74.84,10,1.0,1.0,0.5,1000
st70.tsp,70,723.0,675.0,7.11,73.838,10,1.0,2.0,0.1,1000
st70.tsp,70,751.0,675.0,11.26,74.933,10,1.0,2.0,0.3,1000
st70.tsp,70,756.0,675.0,12.0,73.348,10,1.0,2.0,0.5,1000
st70.tsp,70,758.0,675.0,12.3,73.719,10,1.5,1.0,0.1,1000
st70.tsp,70,917.0,675.0,35.85,66.91,10,1.5,1.0,0.3,1000
st70.tsp,70,814.0,675.0,20.59,70.329,10,1.5,1.0,0.5,1000
st70.tsp,70,753.0,675.0,11.56,61.62,10,1.5,2.0,0.1,1000
st70.tsp,70,774.0,675.0,14.67,59.603,10,1.5,2.0,0.3,1000
st70.tsp,70,837.0,675.0,24.0,61.452,10,1.5,2.0,0.5,1000
st70.tsp,70,1247.0,675.0,84.74,119.612,20,0.5,1.0,0.1,1000
st70.tsp,70,998.0,675.0,47.85,117.908,20,0.5,1.0,0.3,1000
st70.tsp,70,1038.0,675.0,53.78,107.227,20,0.5,1.0,0.5,1000
st70.tsp,70,840.0,675.0,24.44,105.609,20,0.5,2.0,0.1,1000
st70.tsp,70,796.0,675.0,17.93,106.444,20,0.5,2.0,0.3,1000
st70.tsp,70,808.0,675.0,19.7,103.147,20,0.5,2.0,0.5,1000
st70.tsp,70,781.0,675.0,15.7,101.388,20,1.0,1.0,0.1,1000
st70.tsp,70,752.0,675.0,11.41,103.564,20,1.0,1.0,0.3,1000
st70.tsp,70,719.0,675.0,6.52,103.381,20,1.0,1.0,0.5,1000
st70.tsp,70,726.0,675.0,7.56,102.447,20,1.0,2.0,0.1,1000
st70.tsp,70,716.0,675.0,6.07,103.302,20,1.0,2.0,0.3,1000
st70.tsp,70,744.0,675.0,10.22,106.259,20,1.0,2.0,0.5,1000
st70.tsp,70,732.0,675.0,8.44,104.585,20,1.5,1.0,0.1,1000
st70.tsp,70,760.0,675.0,12.59,105.306,20,1.5,1.0,0.3,1000
st70.tsp,70,798.0,675.0,18.22,111.009,20,1.5,1.0,0.5,1000
st70.tsp,70,740.0,675.0,9.63,103.715,20,1.5,2.0,0.1,1000
st70.tsp,70,744.0,675.0,10.22,102.03,20,1.5,2.0,0.3,1000
st70.tsp,70,771.0,675.0,14.22,108.658,20,1.5,2.0,0.5,1000
st70.tsp,70,1210.0,675.0,79.26,156.166,30,0.5,1.0,0.1,1000
st70.tsp,70,1041.0,675.0,54.22,155.976,30,0.5,1.0,0.3,1000
st70.tsp,70,1020.0,675.0,51.11,154.13,30,0.5,1.0,0.5,1000
st70.tsp,70,818.0,675.0,21.19,158.332,30,0.5,2.0,0.1,1000
st70.tsp,70,788.0,675.0,16.74,160.77,30,0.5,2.0,0.3,1000
st70.tsp,70,767.0,675.0,13.63,149.617,30,0.5,2.0,0.5,1000
st70.tsp,70,738.0,675.0,9.33,132.67,30,1.0,1.0,0.1,1000
st70.tsp,70,735.0,675.0,8.89,131.328,30,1.0,1.0,0.3,1000
st70.tsp,70,721.0,675.0,6.81,136.807,30,1.0,1.0,0.5,1000
st70.tsp,70,734.0,675.0,8.74,137.166,30,1.0,2.0,0.1,1000
st70.tsp,70,729.0,675.0,8.0,136.341,30,1.0,2.0,0.3,1000
st70.tsp,70,727.0,675.0,7.7,134.145,30,1.0,2.0,0.5,1000
st70.tsp,70,762.0,675.0,12.89,137.795,30,1.5,1.0,0.1,1000
st70.tsp,70,809.0,675.0,19.85,189.785,30,1.5,1.0,0.3,1000
st70.tsp,70,796.0,675.0,17.93,148.031,30,1.5,1.0,0.5,1000
st70.tsp,70,736.0,675.0,9.04,143.393,30,1.5,2.0,0.1,1000
st70.tsp,70,765.0,675.0,13.33,141.76,30,1.5,2.0,0.3,1000
st70.tsp,70,780.0,675.0,15.56,142.534,30,1.5,2.0,0.5,1000
