archivo,dimension,mejor_distancia,optimo,gap_%,tiempo_segundos,n_ants,alpha,beta,ro,iterations
ulysses22.tsp,22,7466.0,7013.0,6.46,11.845,10,0.5,1.0,0.1,1000
ulysses22.tsp,22,7261.0,7013.0,3.54,12.424,10,0.5,1.0,0.3,1000
ulysses22.tsp,22,7345.0,7013.0,4.73,11.892,10,0.5,1.0,0.5,1000
ulysses22.tsp,22,7243.0,7013.0,3.28,11.869,10,0.5,2.0,0.1,1000
ulysses22.tsp,22,7122.0,7013.0,1.55,16.31,10,0.5,2.0,0.3,1000
ulysses22.tsp,22,7052.0,7013.0,0.56,15.544,10,0.5,2.0,0.5,1000
ulysses22.tsp,22,7183.0,7013.0,2.42,15.749,10,1.0,1.0,0.1,1000
ulysses22.tsp,22,7091.0,7013.0,1.11,14.859,10,1.0,1.0,0.3,1000
ulysses22.tsp,22,7130.0,7013.0,1.67,15.648,10,1.0,1.0,0.5,1000
ulysses22.tsp,22,7126.0,7013.0,1.61,17.719,10,1.0,2.0,0.1,1000
ulysses22.tsp,22,7112.0,7013.0,1.41,15.661,10,1.0,2.0,0.3,1000
ulysses22.tsp,22,7157.0,7013.0,2.05,15.161,10,1.0,2.0,0.5,1000
ulysses22.tsp,22,7232.0,7013.0,3.12,15.756,10,1.5,1.0,0.1,1000
ulysses22.tsp,22,7155.0,7013.0,2.02,27.169,10,1.5,1.0,0.3,1000
ulysses22.tsp,22,7321.0,7013.0,4.39,52.872,10,1.5,1.0,0.5,1000
ulysses22.tsp,22,7159.0,7013.0,2.08,24.685,10,1.5,2.0,0.1,1000
ulysses22.tsp,22,7248.0,7013.0,3.35,11.165,10,1.5,2.0,0.3,1000
ulysses22.tsp,22,7227.0,7013.0,3.05,14.12,10,1.5,2.0,0.5,1000
ulysses22.tsp,22,7300.0,7013.0,4.09,31.535,20,0.5,1.0,0.1,1000
ulysses22.tsp,22,7291.0,7013.0,3.96,30.449,20,0.5,1.0,0.3,1000
ulysses22.tsp,22,7203.0,7013.0,2.71,30.741,20,0.5,1.0,0.5,1000
ulysses22.tsp,22,7039.0,7013.0,0.37,30.32,20,0.5,2.0,0.1,1000
ulysses22.tsp,22,7139.0,7013.0,1.8,31.86,20,0.5,2.0,0.3,1000
ulysses22.tsp,22,7128.0,7013.0,1.64,30.711,20,0.5,2.0,0.5,1000
ulysses22.tsp,22,7113.0,7013.0,1.43,31.113,20,1.0,1.0,0.1,1000
ulysses22.tsp,22,7139.0,7013.0,1.8,30.31,20,1.0,1.0,0.3,1000
ulysses22.tsp,22,7172.0,7013.0,2.27,31.267,20,1.0,1.0,0.5,1000
ulysses22.tsp,22,7059.0,7013.0,0.66,30.581,20,1.0,2.0,0.1,1000
ulysses22.tsp,22,7115.0,7013.0,1.45,31.115,20,1.0,2.0,0.3,1000
ulysses22.tsp,22,7115.0,7013.0,1.45,30.312,20,1.0,2.0,0.5,1000
ulysses22.tsp,22,7126.0,7013.0,1.61,30.772,20,1.5,1.0,0.1,1000
ulysses22.tsp,22,7330.0,7013.0,4.52,30.438,20,1.5,1.0,0.3,1000
ulysses22.tsp,22,7154.0,7013.0,2.01,31.251,20,1.5,1.0,0.5,1000
ulysses22.tsp,22,7070.0,7013.0,0.81,30.646,20,1.5,2.0,0.1,1000
ulysses22.tsp,22,7156.0,7013.0,2.04,31.788,20,1.5,2.0,0.3,1000
ulysses22.tsp,22,7113.0,7013.0,1.43,30.771,20,1.5,2.0,0.5,1000
ulysses22.tsp,22,7353.0,7013.0,4.85,46.165,30,0.5,1.0,0.1,1000
ulysses22.tsp,22,7343.0,7013.0,4.71,45.926,30,0.5,1.0,0.3,1000
ulysses22.tsp,22,7430.0,7013.0,5.95,44.69,30,0.5,1.0,0.5,1000
ulysses22.tsp,22,7195.0,7013.0,2.6,41.547,30,0.5,2.0,0.1,1000
ulysses22.tsp,22,7106.0,7013.0,1.33,41.385,30,0.5,2.0,0.3,1000
ulysses22.tsp,22,7100.0,7013.0,1.24,40.488,30,0.5,2.0,0.5,1000
ulysses22.tsp,22,7115.0,7013.0,1.45,38.626,30,1.0,1.0,0.1,1000
ulysses22.tsp,22,7013.0,7013.0,0.0,37.136,30,1.0,1.0,0.3,1000
ulysses22.tsp,22,7116.0,7013.0,1.47,36.843,30,1.0,1.0,0.5,1000
ulysses22.tsp,22,7019.0,7013.0,0.09,36.37,30,1.0,2.0,0.1,1000
ulysses22.tsp,22,7013.0,7013.0,0.0,36.249,30,1.0,2.0,0.3,1000
ulysses22.tsp,22,7083.0,7013.0,1.0,36.12,30,1.0,2.0,0.5,1000
ulysses22.tsp,22,7046.0,7013.0,0.47,36.319,30,1.5,1.0,0.1,1000
ulysses22.tsp,22,7181.0,7013.0,2.4,36.842,30,1.5,1.0,0.3,1000
ulysses22.tsp,22,7322.0,7013.0,4.41,37.618,30,1.5,1.0,0.5,1000
ulysses22.tsp,22,7083.0,7013.0,1.0,37.332,30,1.5,2.0,0.1,1000
ulysses22.tsp,22,7083.0,7013.0,1.0,36.715,30,1.5,2.0,0.3,1000
ulysses22.tsp,22,7326.0,7013.0,4.46,37.907,30,1.5,2.0,0.5,1000
